Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,Utm_easting,Utm_northing,Zone,letter
1698241927.0622542,427,1698241927,61830759,GPS1_Frame,42.3424475,-71.08447983333333,28.8,328293.4390226613,4689903.225437968,19,T
1698241928.0556855,428,1698241928,55267810,GPS1_Frame,42.34244316666666,-71.08448483333333,29.5,328293.0153398529,4689902.754351762,19,T
1698241929.059418,429,1698241929,58908939,GPS1_Frame,42.34243983333334,-71.0844895,30.3,328292.6218383709,4689902.39363484,19,T
1698241930.0560024,430,1698241930,55495977,GPS1_Frame,42.34243783333333,-71.08449533333334,30.3,328292.13585978746,4689902.183330663,19,T
1698241931.0557191,431,1698241931,55370569,GPS1_Frame,42.34244,-71.084503,30.5,328291.5101991702,4689902.439405866,19,T
1698241932.053739,432,1698241932,53305864,GPS1_Frame,42.34244133333333,-71.08449949999999,30.7,328291.8021493,4689902.580394,19,T
1698241933.0593677,433,1698241933,58964729,GPS1_Frame,42.34244233333334,-71.08449266666666,31.0,328292.36778281943,4689902.677636168,19,T
1698241934.0559878,434,1698241934,55581808,GPS1_Frame,42.342442,-71.08448883333334,31.1,328292.68265484646,4689902.632880424,19,T
1698241935.0593362,435,1698241935,58906316,GPS1_Frame,42.34244350000001,-71.08448466666667,31.1,328293.0299768261,4689902.791029322,19,T
1698241936.0553648,436,1698241936,54952621,GPS1_Frame,42.34244449999999,-71.0844805,31.2,328293.3759376452,4689902.893657012,19,T
1698241937.057501,437,1698241937,57096242,GPS1_Frame,42.34244350000001,-71.08447883333334,31.2,328293.5105107767,4689902.779248684,19,T
1698241938.0557609,438,1698241938,55384874,GPS1_Frame,42.342442833333344,-71.084477,31.4,328293.65972087835,4689902.701517913,19,T
1698241939.0597048,439,1698241939,59391021,GPS1_Frame,42.34244116666667,-71.08447616666668,31.6,328293.72383145615,4689902.514764239,19,T
1698241940.056507,440,1698241940,56126356,GPS1_Frame,42.342438333333334,-71.08447683333334,31.7,328293.66120016534,4689902.201490354,19,T
1698241941.0570247,441,1698241941,56475400,GPS1_Frame,42.342439666666664,-71.0844745,31.7,328293.8570434627,4689902.344834696,19,T
1698241942.0554805,442,1698241942,55139303,GPS1_Frame,42.34243883333333,-71.08447316666667,31.7,328293.96461123653,4689902.249606624,19,T
1698241943.058895,443,1698241943,58432579,GPS1_Frame,42.34243883333333,-71.084472,31.8,328294.0607180358,4689902.247250507,19,T
1698241944.057194,444,1698241944,56871652,GPS1_Frame,42.3424395,-71.08447066666666,32.0,328294.1723692225,4689902.318586093,19,T
1698241945.0572758,445,1698241945,56830406,GPS1_Frame,42.34243983333334,-71.0844695,32.2,328294.2693834419,4689902.353244126,19,T
1698241946.0558133,446,1698241946,55243015,GPS1_Frame,42.342438333333334,-71.08446966666666,32.3,328294.2515704953,4689902.187017057,19,T
1698241947.0576751,447,1698241947,57307481,GPS1_Frame,42.34243766666667,-71.08446966666666,32.5,328294.2497556489,4689902.112988766,19,T
1698241948.0564487,448,1698241948,55983543,GPS1_Frame,42.34243733333333,-71.08446983333333,32.7,328294.2351186831,4689902.076311207,19,T
1698241949.0577843,449,1698241949,57438135,GPS1_Frame,42.34243783333333,-71.08446933333333,33.0,328294.27766844514,4689902.130822662,19,T
1698241950.057129,450,1698241950,56729793,GPS1_Frame,42.342437000000004,-71.08447,33.3,328294.22048171726,4689902.03963365,19,T
1698241951.0640314,451,1698241951,63658237,GPS1_Frame,42.342437000000004,-71.08446966666666,33.9,328294.24794080236,4689902.0389604755,19,T
1698241952.0586445,452,1698241952,58099985,GPS1_Frame,42.342437000000004,-71.08446883333333,34.4,328294.3165885151,4689902.037277537,19,T
1698241953.061608,453,1698241953,61152696,GPS1_Frame,42.342437999999994,-71.08446766666665,35.0,328294.41541758424,4689902.145963862,19,T
1698241954.0557506,454,1698241954,55377244,GPS1_Frame,42.342438333333334,-71.08446666666667,35.5,328294.4987022602,4689902.180958483,19,T
1698241955.0613139,455,1698241955,60843706,GPS1_Frame,42.34243816666667,-71.08446633333332,35.9,328294.5257076359,4689902.161778237,19,T
1698241956.058877,456,1698241956,58315992,GPS1_Frame,42.34243816666667,-71.08446616666667,36.4,328294.5394371761,4689902.161441648,19,T
1698241957.061293,457,1698241957,60852527,GPS1_Frame,42.3424365,-71.08446699999999,36.6,328294.4662523543,4689901.978053856,19,T
1698241958.0588963,458,1698241958,58531999,GPS1_Frame,42.34243633333334,-71.08447266666667,37.5,328293.9989941811,4689901.970990766,19,T
1698241959.061352,459,1698241959,61035156,GPS1_Frame,42.34244149999999,-71.08447983333333,37.8,328293.42268896126,4689902.559183342,19,T
1698241960.0565214,460,1698241960,56232690,GPS1_Frame,42.34245133333334,-71.084491,37.7,328292.5295789202,4689903.6736521935,19,T
1698241961.058852,461,1698241961,58434247,GPS1_Frame,42.3424695,-71.08450866666666,37.7,328291.12370321836,4689905.726601965,19,T
1698241962.0590987,462,1698241962,58797597,GPS1_Frame,42.34249133333333,-71.08452933333334,38.3,328289.4806787527,4689908.192766406,19,T
1698241963.0611396,463,1698241963,60757160,GPS1_Frame,42.342506500000006,-71.08455433333333,38.2,328287.4625385771,4689909.927399978,19,T
1698241964.0594146,464,1698241964,59010028,GPS1_Frame,42.342524999999995,-71.08458416666667,38.4,328285.0553179358,4689912.041937199,19,T
1698241965.0578628,465,1698241965,57436466,GPS1_Frame,42.34254850000001,-71.08461466666667,38.7,328282.6067930002,4689914.713033945,19,T
1698241966.0586789,466,1698241966,58333873,GPS1_Frame,42.34257383333333,-71.08464699999999,39.6,328280.01223657845,4689917.591412198,19,T
1698241967.0581903,467,1698241967,57738780,GPS1_Frame,42.342605000000006,-71.08468366666666,40.3,328277.07659671525,4689921.126291239,19,T
1698241968.0585818,468,1698241968,58256149,GPS1_Frame,42.3426375,-71.08472766666667,40.6,328273.5404920562,4689924.82403988,19,T
1698241969.0595083,469,1698241969,58781623,GPS1_Frame,42.342673,-71.08477599999999,39.9,328269.6555924282,4689928.863670333,19,T
1698241970.0569572,470,1698241970,56533336,GPS1_Frame,42.34271183333333,-71.08482716666667,39.5,328265.54637195205,4689933.279167551,19,T
1698241971.0598552,471,1698241971,59363126,GPS1_Frame,42.3427525,-71.08488383333334,39.5,328260.9890759176,4689937.909354775,19,T
1698241972.054931,472,1698241972,54566860,GPS1_Frame,42.342798499999994,-71.084946,38.2,328255.993235806,4689943.142881487,19,T
1698241973.059443,473,1698241973,59078931,GPS1_Frame,42.34286416666667,-71.08500316666667,36.0,328251.46283901786,4689950.550146587,19,T
1698241974.0597734,474,1698241974,59373378,GPS1_Frame,42.342921833333335,-71.08506883333332,33.5,328246.2104663931,4689957.086246287,19,T
1698241975.0597987,475,1698241975,59469938,GPS1_Frame,42.3429705,-71.0851435,32.3,328240.1922062499,4689962.641149827,19,T
1698241976.0595322,476,1698241976,59168338,GPS1_Frame,42.343019500000004,-71.08521850000001,31.4,328234.1474046319,4689968.233746433,19,T
1698241977.0596151,477,1698241977,59283971,GPS1_Frame,42.34306516666667,-71.08529433333334,30.9,328228.024887759,4689973.457890676,19,T
1698241978.0558226,478,1698241978,55518627,GPS1_Frame,42.34311416666666,-71.08536699999999,30.8,328222.17231682,4689979.045784155,19,T
1698241979.0601969,479,1698241979,59696197,GPS1_Frame,42.343159666666665,-71.08543583333334,30.3,328216.6259986575,4689984.237289112,19,T
1698241980.0638223,480,1698241980,63510417,GPS1_Frame,42.343198833333325,-71.0854955,29.8,328211.8175546782,4689988.707008313,19,T
1698241981.0628278,481,1698241981,62501192,GPS1_Frame,42.34323500000001,-71.08554666666667,29.6,328207.70114354056,4689992.8264287235,19,T
1698241982.0595188,482,1698241982,59119462,GPS1_Frame,42.343259999999994,-71.08558616666666,29.5,328204.5153771777,4689995.682303691,19,T
1698241983.0585878,483,1698241983,58220386,GPS1_Frame,42.34327366666666,-71.0856065,29.7,328202.8776199742,4689997.240969989,19,T
1698241984.0585403,484,1698241984,58200836,GPS1_Frame,42.34328083333333,-71.08561416666666,29.5,328202.2655899855,4689998.052265838,19,T
1698241985.0593932,485,1698241985,59061288,GPS1_Frame,42.34328066666667,-71.08561666666667,29.6,328202.05919561576,4689998.03881037,19,T
1698241986.0581822,486,1698241986,57814121,GPS1_Frame,42.34327933333334,-71.0856185,29.6,328201.9045409028,4689997.894458273,19,T
1698241987.0639868,487,1698241987,63197612,GPS1_Frame,42.34327783333333,-71.08561983333334,29.6,328201.79062029265,4689997.73058878,19,T
1698241988.058615,488,1698241988,58255434,GPS1_Frame,42.34327666666666,-71.08562133333334,29.5,328201.66387825855,4689997.6040702155,19,T
1698241989.059064,489,1698241989,58698892,GPS1_Frame,42.34327483333333,-71.085623,29.5,328201.52159097826,4689997.403860124,19,T
1698241990.056239,490,1698241990,55923938,GPS1_Frame,42.34327366666666,-71.08562400000001,29.4,328201.43603701517,4689997.276331237,19,T
1698241991.0593777,491,1698241991,58928966,GPS1_Frame,42.34327233333333,-71.08562466666667,29.2,328201.3774878057,4689997.129621727,19,T
1698241992.0553885,492,1698241992,55034399,GPS1_Frame,42.34327033333334,-71.08562616666667,29.2,328201.24847589724,4689996.910567788,19,T
1698241993.0620666,493,1698241993,61656475,GPS1_Frame,42.34326816666667,-71.08562783333333,29.1,328201.1052806517,4689996.6733435495,19,T
1698241994.0560384,494,1698241994,55620908,GPS1_Frame,42.34326616666667,-71.08562950000001,29.1,328200.9625393644,4689996.454626393,19,T
1698241995.0585008,495,1698241995,58135509,GPS1_Frame,42.34326383333334,-71.08563133333334,29.1,328200.80516076135,4689996.19923186,19,T
1698241996.0566468,496,1698241996,56317090,GPS1_Frame,42.343261500000004,-71.08563316666667,28.9,328200.64778214943,4689995.94383733,19,T
1698241997.0618677,497,1698241997,61323881,GPS1_Frame,42.34325950000001,-71.08563516666666,28.8,328200.4775821078,4689995.725793733,19,T
1698241998.0568917,498,1698241998,56558609,GPS1_Frame,42.34325766666666,-71.08563666666667,28.6,328200.34902412107,4689995.525246885,19,T
1698241999.058328,499,1698241999,57944297,GPS1_Frame,42.343256000000004,-71.085638,28.5,328200.23464946577,4689995.342870341,19,T
1698242000.0562804,500,1698242000,55967330,GPS1_Frame,42.34325383333333,-71.08563983333333,28.4,328200.0777247915,4689995.105982898,19,T
1698242001.0555964,501,1698242001,55292129,GPS1_Frame,42.34325116666667,-71.08564216666667,28.3,328199.8782500801,4689994.814584565,19,T
1698242002.0558763,502,1698242002,55476903,GPS1_Frame,42.343248333333335,-71.08564433333332,28.2,328199.69205074897,4689994.504342383,19,T
1698242003.057552,503,1698242003,57083606,GPS1_Frame,42.343246,-71.08564616666666,28.1,328199.53467206,4689994.248947877,19,T
1698242004.05628,504,1698242004,55868864,GPS1_Frame,42.34324433333333,-71.085648,28.1,328199.37910926173,4689994.067581681,19,T
1698242005.060423,505,1698242005,60044050,GPS1_Frame,42.343242333333336,-71.08564966666667,28.0,328199.2363678742,4689993.848864555,19,T
1698242006.0566778,506,1698242006,56276559,GPS1_Frame,42.343241000000006,-71.0856505,27.8,328199.1640892243,4689993.702491841,19,T
1698242007.059062,507,1698242007,58604955,GPS1_Frame,42.34323966666666,-71.085652,27.8,328199.03689309704,4689993.557466244,19,T
1698242008.0571861,508,1698242008,56731224,GPS1_Frame,42.34323766666667,-71.085654,27.7,328198.8666929491,4689993.339422684,19,T
1698242009.0580695,509,1698242009,57731866,GPS1_Frame,42.34323500000001,-71.08565700000001,27.7,328198.6123006625,4689993.049371507,19,T
1698242010.0581686,510,1698242010,57820320,GPS1_Frame,42.34323200000001,-71.08566066666667,27.8,328198.30208292033,4689992.723653308,19,T
1698242011.0645878,511,1698242011,64260959,GPS1_Frame,42.34322983333333,-71.08566333333333,27.8,328198.07651126874,4689992.488449814,19,T
1698242012.0552604,512,1698242012,54898738,GPS1_Frame,42.3432285,-71.08566516666666,27.8,328197.92185635364,4689992.3440978015,19,T
1698242013.0591831,513,1698242013,58713197,GPS1_Frame,42.3432275,-71.08566649999999,27.7,328197.80929750705,4689992.235749598,19,T
1698242014.0613964,514,1698242014,61120033,GPS1_Frame,42.34322583333333,-71.08566866666666,27.6,328197.6262758783,4689992.055057001,19,T
1698242015.0589209,515,1698242015,58560848,GPS1_Frame,42.34322383333333,-71.085671,27.6,328197.4286169077,4689991.837687041,19,T
1698242016.0572996,516,1698242016,56943655,GPS1_Frame,42.34322166666667,-71.08567316666667,27.6,328197.24423331686,4689991.601473224,19,T
1698242017.0619867,517,1698242017,61616659,GPS1_Frame,42.343219166666664,-71.08567566666667,27.6,328197.0314830033,4689991.328918826,19,T
1698242018.0591006,518,1698242018,58693408,GPS1_Frame,42.34321683333333,-71.08567833333333,27.6,328196.805457284,4689991.075208296,19,T
1698242019.0614207,519,1698242019,60604333,GPS1_Frame,42.34321466666667,-71.08568083333333,27.7,328196.59361490724,4689990.839668064,19,T
1698242020.0577836,520,1698242020,57471275,GPS1_Frame,42.34321283333334,-71.085683,27.7,328196.410139227,4689990.640468422,19,T
1698242021.0590618,521,1698242021,58674573,GPS1_Frame,42.34321083333332,-71.08568516666666,27.7,328196.22620955744,4689990.422761708,19,T
1698242022.0591655,522,1698242022,58875560,GPS1_Frame,42.34320883333333,-71.08568700000001,27.7,328196.06973862543,4689990.204381427,19,T
1698242023.0581305,523,1698242023,57754039,GPS1_Frame,42.34320683333333,-71.085689,27.8,328195.89953831036,4689989.9863379365,19,T
1698242024.061876,524,1698242024,61538457,GPS1_Frame,42.343205166666664,-71.08569066666668,27.8,328195.7577047041,4689989.804635029,19,T
1698242025.0638244,525,1698242025,63325643,GPS1_Frame,42.343203499999994,-71.08569216666666,27.8,328195.6296004716,4689989.62259534,19,T
1698242026.0586865,526,1698242026,58301687,GPS1_Frame,42.343201833333325,-71.08569349999999,27.8,328195.5152256053,4689989.440218866,19,T
1698242027.061426,527,1698242027,61057090,GPS1_Frame,42.343199999999996,-71.08569516666667,27.8,328195.3729379935,4689989.24000889,19,T
1698242028.059054,528,1698242028,58640718,GPS1_Frame,42.3431985,-71.0856965,27.8,328195.25901710463,4689989.076139497,19,T
1698242029.063635,529,1698242029,62361001,GPS1_Frame,42.343197333333336,-71.0856975,27.8,328195.1734629361,4689988.948610683,19,T
1698242030.0607886,530,1698242030,60415506,GPS1_Frame,42.34319566666667,-71.08569883333332,27.8,328195.05908805004,4689988.766234217,19,T
1698242031.06093,531,1698242031,60529470,GPS1_Frame,42.34319433333334,-71.08570016666665,27.8,328194.945621131,4689988.620871905,19,T
1698242032.0584028,532,1698242032,58061361,GPS1_Frame,42.343193166666666,-71.085701,27.8,328194.8737963304,4689988.493006308,19,T
1698242033.0616243,533,1698242033,61255693,GPS1_Frame,42.343191833333336,-71.08570166666667,27.7,328194.81524691987,4689988.346296846,19,T
1698242034.0568275,534,1698242034,56464672,GPS1_Frame,42.343190166666666,-71.08570266666668,27.7,328194.72833077447,4689988.1632468095,19,T
1698242035.061746,535,1698242035,61391592,GPS1_Frame,42.3431885,-71.08570366666666,27.7,328194.6414146271,4689987.980196772,19,T
1698242036.0610516,536,1698242036,60721397,GPS1_Frame,42.34318700000001,-71.08570383333334,27.6,328194.6235993613,4689987.813969874,19,T
1698242037.0610838,537,1698242037,60752153,GPS1_Frame,42.34318533333333,-71.08570416666666,27.5,328194.5916007295,4689987.629572686,19,T
1698242038.0583982,538,1698242038,58042764,GPS1_Frame,42.34318450000001,-71.0857045,27.4,328194.5618720303,4689987.53771088,19,T
